"Name","ID","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","beta","ckpt","indexpath","judgements","maxdocs","name","nrerank","quality_model","queryexp","querypath","resultpath","test","titleboost","topicpath","type","nDCG@5","nDCG@5_corr"
"silver-sweep-217","t5jf6rhs","finished","-","albyval97","","2021-05-06T09:39:09.000Z","208","pxf10n30","0.75","2","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7813",""
"bright-sweep-216","r8ecvlw4","finished","-","tommaso-green","","2021-05-06T09:37:00.000Z","199","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8103",""
"pretty-sweep-215","xvrb6jtq","finished","-","albyval97","","2021-05-06T09:35:27.000Z","215","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7643",""
"crimson-sweep-214","lbf8st8l","finished","-","tommaso-green","","2021-05-06T09:35:10.000Z","106","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8149",""
"sweet-sweep-213","t9l9jl3l","finished","-","tommaso-green","","2021-05-06T09:33:20.000Z","108","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8136",""
"prime-sweep-212","x0o2b3dx","finished","-","albyval97","","2021-05-06T09:31:42.000Z","220","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7745",""
"firm-sweep-211","k6iggryi","finished","-","tommaso-green","","2021-05-06T09:30:00.000Z","197","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8226",""
"neat-sweep-210","oeujj9l0","finished","-","albyval97","","2021-05-06T09:28:08.000Z","210","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7813",""
"ethereal-sweep-209","pqgye027","finished","-","tommaso-green","","2021-05-06T09:26:51.000Z","186","pxf10n30","0.75","1.5","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8279",""
"exalted-sweep-208","lxmdjotn","finished","-","albyval97","","2021-05-06T09:24:29.000Z","214","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7638",""
"warm-sweep-207","l5cda9mc","finished","-","tommaso-green","","2021-05-06T09:23:27.000Z","197","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8123",""
"lucky-sweep-206","3sjcehgq","finished","-","albyval97","","2021-05-06T09:22:28.000Z","1301049","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7684","0.7684"
"icy-sweep-205","43mbu1du","finished","-","tommaso-green","","2021-05-06T09:21:30.000Z","1301136","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8136","0.8136"
"vague-sweep-204","0edzeu0i","finished","-","albyval97","","2021-05-06T09:18:39.000Z","1300753","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7745","0.7745"
"northern-sweep-203","befy6gya","finished","-","tommaso-green","","2021-05-06T09:18:00.000Z","205","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8226",""
"generous-sweep-108","ylcrfdiy","finished","-","lucamoro","","2021-05-06T09:15:40.000Z","242","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","10","","no","","","","0","","hybrid","0.7992",""
"wobbly-sweep-202","n1mq0qo6","finished","-","albyval97","","2021-05-06T09:15:15.000Z","202","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7816",""
"lunar-sweep-201","6dngyx5w","finished","High score, best model ever.","tommaso-green","tira_submission","2021-05-06T09:14:40.000Z","1302004","pxf10n30","0.75","1.1","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8279","0.8279"
"dauntless-sweep-200","bljc9ibm","finished","-","albyval97","","2021-05-06T09:12:07.000Z","186","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7601",""
"sparkling-sweep-199","lksu1sd9","finished","-","tommaso-green","","2021-05-06T09:11:31.000Z","185","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8123",""
"daily-sweep-107","dfx7zxj3","finished","-","lucamoro","","2021-05-06T09:11:23.000Z","246","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","10","","yes","","","","0","","hybrid","0.6686",""
"soft-sweep-198","epht72zz","finished","-","albyval97","","2021-05-06T09:10:28.000Z","97","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7684",""
"devoted-sweep-106","wgxtfkzz","finished","-","lucamoro","","2021-05-06T09:08:49.000Z","119","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","hybrid","0.8186",""
"jumping-sweep-197","4v7zcu81","finished","-","albyval97","","2021-05-06T09:08:49.000Z","1302001","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7671","0.7671"
"super-sweep-105","p3hmzdlf","finished","-","lucamoro","","2021-05-06T09:06:22.000Z","142","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","yes","","","","0","","hybrid","0.6802",""
"balmy-sweep-195","onn7johl","finished","-","albyval97","","2021-05-06T09:05:35.000Z","188","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7761",""
"worldly-sweep-196","5r207wwj","finished","-","tommaso-green","","2021-05-06T09:05:35.000Z","1302360","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8229","0.8229"
"lunar-sweep-194","umji66qz","finished","-","albyval97","","2021-05-06T09:02:23.000Z","178","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7809",""
"light-sweep-193","c2bwdl0s","finished","-","tommaso-green","","2021-05-06T08:59:22.000Z","362","pxf10n30","0.75","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8279",""
"dainty-sweep-104","9vzndyei","finished","-","lucamoro","","2021-05-06T08:59:18.000Z","421","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","20","","no","","","","0","","hybrid","0.8097",""
"lilac-sweep-192","7od3t7hm","finished","-","albyval97","","2021-05-06T08:59:00.000Z","1303056","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7704","0.7704"
"effortless-sweep-191","84hiiebg","finished","-","albyval97","","2021-05-06T08:55:45.000Z","1303359","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7643","0.7643"
"fancy-sweep-190","mifuc0n1","finished","-","tommaso-green","","2021-05-06T08:55:23.000Z","236","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8142",""
"lemon-sweep-189","fsr8mc0e","finished","-","albyval97","","2021-05-06T08:54:00.000Z","98","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7671",""
"sunny-sweep-103","m9vrdos8","finished","-","lucamoro","","2021-05-06T08:51:04.000Z","485","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","20","","yes","","","","0","","hybrid","0.6726",""
"legendary-sweep-188","vmk7axgp","finished","-","albyval97","","2021-05-06T08:50:45.000Z","192","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7746",""
"lively-sweep-187","u8p5hcr4","finished","-","albyval97","","2021-05-06T08:47:26.000Z","192","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7761",""
"toasty-sweep-186","upbn2o6v","finished","-","tommaso-green","","2021-05-06T08:45:43.000Z","577","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8259",""
"brisk-sweep-185","cumya9jj","finished","-","albyval97","","2021-05-06T08:44:14.000Z","181","pxf10n30","0.75","0.3","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7813",""
"jolly-sweep-102","56si46i2","finished","-","lucamoro","","2021-05-06T08:43:08.000Z","1303603","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","15","","no","","","","0","","hybrid","0.8097","0.8097"
"glorious-sweep-184","nf99jrtq","finished","-","albyval97","","2021-05-06T08:41:06.000Z","184","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7832",""
"fresh-sweep-183","h8yy4tel","finished","-","tommaso-green","","2021-05-06T08:39:56.000Z","331","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8123",""
"balmy-sweep-182","r6g0y2yy","finished","-","albyval97","","2021-05-06T08:39:27.000Z","96","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7749",""
"genial-sweep-181","wiz0mi8u","finished","-","albyval97","","2021-05-06T08:37:48.000Z","97","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7671",""
"floral-sweep-180","ydaw6ujk","finished","-","tommaso-green","","2021-05-06T08:36:31.000Z","191","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8175",""
"electric-sweep-101","2553u2nb","finished","-","lucamoro","","2021-05-06T08:35:06.000Z","1303592","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","15","","yes","","","","0","","hybrid","0.6726","0.6726"
"tough-sweep-179","6q5hzuvc","finished","-","albyval97","","2021-05-06T08:34:25.000Z","1304451","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7761","0.7761"
"deft-sweep-178","f90csjjm","finished","-","tommaso-green","","2021-05-06T08:33:01.000Z","205","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.822",""
"efficient-sweep-177","csmht6c1","finished","-","albyval97","","2021-05-06T08:31:22.000Z","178","pxf10n30","0.75","0.2","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7813",""
"unique-sweep-100","owe5xmnb","finished","-","lucamoro","","2021-05-06T08:31:20.000Z","214","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","10","","no","","","","0","","hybrid","0.8097",""
"fragrant-sweep-176","zaqcw5if","finished","-","tommaso-green","","2021-05-06T08:29:33.000Z","199","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8242",""
"wobbly-sweep-175","cbxn41dx","finished","-","albyval97","","2021-05-06T08:28:12.000Z","183","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7643",""
"sweet-sweep-99","tahqabrr","finished","-","lucamoro","","2021-05-06T08:27:29.000Z","229","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","10","","yes","","","","0","","hybrid","0.6726",""
"fiery-sweep-174","qof2lmw7","finished","-","tommaso-green","","2021-05-06T08:27:16.000Z","129","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8229",""
"fast-sweep-173","81fjaq5y","finished","-","albyval97","","2021-05-06T08:26:33.000Z","1305095","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7671","0.7671"
"rich-sweep-98","i36j98e3","finished","-","lucamoro","","2021-05-06T08:25:50.000Z","95","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","hybrid","0.8229",""
"youthful-sweep-172","8eyvb1e7","finished","-","tommaso-green","","2021-05-06T08:23:45.000Z","1305338","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8116","0.8116"
"devout-sweep-97","371x1cm6","finished","-","lucamoro","","2021-05-06T08:23:29.000Z","1304458","ykf9dn7p","0.1","0.8","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","yes","","","","0","","hybrid","0.6831","0.6831"
"usual-sweep-171","jljgr9fz","finished","-","albyval97","","2021-05-06T08:23:19.000Z","190","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7761",""
"polished-sweep-170","n665j6bq","finished","-","albyval97","","2021-05-06T08:20:16.000Z","178","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7804",""
"cosmic-sweep-169","g7dzuiaq","finished","-","tommaso-green","","2021-05-06T08:20:15.000Z","206","pxf10n30","0.75","0.1","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8279",""
"celestial-sweep-168","sbp77nl1","finished","-","albyval97","","2021-05-06T08:17:01.000Z","183","pxf10n30","0.5","2","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7619",""
"prime-sweep-167","r8yn3zls","finished","-","tommaso-green","","2021-05-06T08:16:48.000Z","195","pxf10n30","0.5","2","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8187",""
"driven-sweep-166","lxsbwk5v","finished","-","albyval97","","2021-05-06T08:15:01.000Z","114","pxf10n30","0.5","2","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7684",""
"likely-sweep-165","32gw5rx4","finished","-","tommaso-green","","2021-05-06T08:14:45.000Z","1304966","pxf10n30","0.5","2","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8165","0.8165"
"polished-sweep-164","0snbdi0i","finished","-","albyval97","","2021-05-06T08:11:36.000Z","1304849","pxf10n30","0.5","2","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7745","0.7745"
"good-sweep-163","fj1dcsbn","finished","-","tommaso-green","","2021-05-06T08:11:07.000Z","211","pxf10n30","0.5","2","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8162",""
"helpful-sweep-162","x6r4s9sn","finished","-","albyval97","","2021-05-06T08:08:31.000Z","179","pxf10n30","0.5","2","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7816",""
"comic-sweep-161","803asyou","finished","-","tommaso-green","","2021-05-06T08:07:51.000Z","1306194","pxf10n30","0.5","2","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8255","0.8255"
"sage-sweep-160","3aybbx70","finished","-","albyval97","","2021-05-06T08:05:05.000Z","1305591","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7627","0.7627"
"fanciful-sweep-159","tu4t5xgh","finished","-","tommaso-green","","2021-05-06T08:03:38.000Z","250","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8187",""
"sunny-sweep-158","fyclh1ea","finished","-","albyval97","","2021-05-06T08:03:26.000Z","96","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7684",""
"prime-sweep-157","bccww0sk","finished","-","albyval97","","2021-05-06T08:01:42.000Z","96","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7738",""
"clean-sweep-156","46u97h8w","finished","-","tommaso-green","","2021-05-06T07:59:57.000Z","1306044","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8229","0.8229"
"gallant-sweep-155","tpi14zak","finished","-","albyval97","","2021-05-06T07:58:18.000Z","187","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7697",""
"dark-sweep-154","mkxfphji","finished","-","tommaso-green","","2021-05-06T07:56:30.000Z","197","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8267",""
"stilted-sweep-153","1v7ct8mu","finished","-","albyval97","","2021-05-06T07:55:09.000Z","1305929","pxf10n30","0.5","1.5","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7789","0.7789"
"different-sweep-152","xpdlsgqc","finished","-","tommaso-green","","2021-05-06T07:52:57.000Z","208","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8101",""
"upbeat-sweep-151","wz4f5mqz","finished","-","albyval97","","2021-05-06T07:52:01.000Z","183","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7771",""
"desert-sweep-150","badkx4w3","finished","-","tommaso-green","","2021-05-06T07:50:45.000Z","127","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8151",""
"lemon-sweep-149","1ya0cjmg","finished","-","albyval97","","2021-05-06T07:50:21.000Z","1306232","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7738","0.7738"
"toasty-sweep-148","t3t16ltg","finished","-","tommaso-green","","2021-05-06T07:47:04.000Z","207","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.8228",""
"wandering-sweep-147","9u8rywp3","finished","-","albyval97","","2021-05-06T07:46:56.000Z","188","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/albert-base-v2_best-epoch=04-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.7697",""
"helpful-sweep-146","6ggm0sbi","finished","-","albyval97","","2021-05-06T07:43:54.000Z","1307466","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7816","0.7816"
"kind-sweep-145","smbp1jbv","finished","-","tommaso-green","","2021-05-06T07:43:45.000Z","188","pxf10n30","0.5","1.1","argument_quality/model_checkpoints/bert-base-uncased_best-epoch=07-val_r2=0.60.ckpt","","","100","","5","","no","","","","0","","normalize","0.8255",""
"confused-sweep-144","0qnfbpp6","finished","-","albyval97","","2021-05-06T07:40:45.000Z","1306667","pxf10n30","0.5","0.8","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7627","0.7627"
"cerulean-sweep-143","1mg0slqg","finished","-","tommaso-green","","2021-05-06T07:40:15.000Z","1306807","pxf10n30","0.5","0.8","argument_quality/model_checkpoints/roberta-base_best-epoch=08-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.8187","0.8187"
"jumping-sweep-142","cpchto59","finished","-","albyval97","","2021-05-06T07:39:04.000Z","97","pxf10n30","0.5","0.8","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","sigmoid","0.7684",""
"pretty-sweep-141","9fx7wpkm","finished","-","albyval97","","2021-05-06T07:37:25.000Z","97","pxf10n30","0.5","0.8","argument_quality/model_checkpoints/distilbert-base-uncased_best-epoch=04-val_r2=0.62.ckpt","","","100","","5","","no","","","","0","","normalize","0.7738",""
